Match_num,Team_A,Team_B,Group,Venue,Date
Match_1,Pakistan,New Zealand,A,"National Stadium, Karachi",19/02/2025
Match_2,India,Bangladesh,A,"Dubai International Cricket Stadium, Dubai",20/02/2025
Match_3,Afghanistan,South Africa,B,"National Stadium, Karachi",21/02/2025
Match_4,Australia,England,B,"Gaddafi Stadium, Lahore",22/02/2025
Match_5,Pakistan,India,A,"Dubai International Cricket Stadium, Dubai",23/02/2025
Match_6,Bangladesh,New Zealand,A,"Rawalpindi Cricket Stadium, Rawalpindi",24/02/2025
Match_7,Australia,South Africa,B,"Rawalpindi Cricket Stadium, Rawalpindi",25/02/2025
Match_8,Afghanistan,England,B,"Gaddafi Stadium, Lahore",26/02/2025
Match_9,Pakistan,Bangladesh,A,"Rawalpindi Cricket Stadium, Rawalpindi",27/02/2025
Match_10,Afghanistan,Australia,B,"Gaddafi Stadium, Lahore",28/02/2025
Match_11,South Africa,England,B,"National Stadium, Karachi",01/03/2025
Match_12,New Zealand,India,A,"Dubai International Cricket Stadium, Dubai",02/03/2025
